seed,percentile,cutoff,n_oof,mean_cutoff,std_cutoff,relative_std_pct
42,50,0.11525367409984565,1176,0.1154034522143951,0.0015258363730017033,1.32
42,75,0.22912244517348182,1176,0.22702856336950467,0.0016191249560795872,0.71
42,80,0.2623519331304691,1176,0.26254808124218676,0.0030392610338788885,1.16
42,85,0.3071948101158946,1176,0.3075431434490036,0.0017437661210544916,0.57
42,90,0.37017262169040177,1176,0.3671150116357102,0.004647209143766825,1.27
42,95,0.4572102735675089,1176,0.46323154848754167,0.009141927685446263,1.97
42,98,0.5929256785940287,1176,0.5906371273547126,0.012260663394256048,2.08
42,99,0.693841088265859,1176,0.6792554797142987,0.008537122343294859,1.26
43,50,0.11307801260846828,1176,0.1154034522143951,0.0015258363730017033,1.32
43,75,0.22515326621327308,1176,0.22702856336950467,0.0016191249560795872,0.71
43,80,0.2588404796133629,1176,0.26254808124218676,0.0030392610338788885,1.16
43,85,0.3098929714426645,1176,0.3075431434490036,0.0017437661210544916,0.57
43,90,0.37021164449771293,1176,0.3671150116357102,0.004647209143766825,1.27
43,95,0.46391323758087655,1176,0.46323154848754167,0.009141927685446263,1.97
43,98,0.5984270618079133,1176,0.5906371273547126,0.012260663394256048,2.08
43,99,0.6721305885361332,1176,0.6792554797142987,0.008537122343294859,1.26
44,50,0.1160010406365185,1176,0.1154034522143951,0.0015258363730017033,1.32
44,75,0.2257876146410004,1176,0.22702856336950467,0.0016191249560795872,0.71
44,80,0.2617121240165412,1176,0.26254808124218676,0.0030392610338788885,1.16
44,85,0.30804520398916435,1176,0.3075431434490036,0.0017437661210544916,0.57
44,90,0.36896286449385496,1176,0.3671150116357102,0.004647209143766825,1.27
44,95,0.477803511941191,1176,0.46323154848754167,0.009141927685446263,1.97
44,98,0.5700321049747827,1176,0.5906371273547126,0.012260663394256048,2.08
44,99,0.6752131685996187,1176,0.6792554797142987,0.008537122343294859,1.26
45,50,0.11728108151274794,1176,0.1154034522143951,0.0015258363730017033,1.32
45,75,0.2280509274502634,1176,0.22702856336950467,0.0016191249560795872,0.71
45,80,0.26728778820837373,1176,0.26254808124218676,0.0030392610338788885,1.16
45,85,0.3050395882482908,1176,0.3075431434490036,0.0017437661210544916,0.57
45,90,0.35911291586087096,1176,0.3671150116357102,0.004647209143766825,1.27
45,95,0.45399917086059005,1176,0.46323154848754167,0.009141927685446263,1.97
45,98,0.6011636640421256,1176,0.5906371273547126,0.012260663394256048,2.08
45,99,0.6758370734555837,1176,0.6792554797142987,0.008537122343294859,1.26
