model,bin,n,n_positive,mean_predicted,fraction_positive,brier_score,mean_predicted_probability,actual_prevalence,mean_predicted_over_prevalence_ratio
logreg_balanced,0,118,2,0.0382882638147418,0.01694915254237288,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,1,118,6,0.09272177364111599,0.05084745762711865,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,2,117,8,0.15649358760592008,0.06837606837606838,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,3,118,8,0.22597494301340906,0.06779661016949153,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,4,117,9,0.3117476976289351,0.07692307692307693,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,5,118,7,0.40955526940488746,0.059322033898305086,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,6,117,19,0.5044759773842716,0.1623931623931624,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,7,118,20,0.5975074727549415,0.1694915254237288,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,8,117,39,0.7056525361107313,0.3333333333333333,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_balanced,9,118,72,0.844072654410129,0.6101694915254238,0.175617877748741,0.3885437678078418,0.16156462585034015,2.4048814260106415
logreg_smote,0,118,2,0.01794815668388473,0.01694915254237288,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,1,118,7,0.05613428924159806,0.059322033898305086,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,2,117,8,0.10851165082348127,0.06837606837606838,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,3,118,7,0.17673433698731603,0.059322033898305086,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,4,117,9,0.26363777086917306,0.07692307692307693,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,5,118,9,0.3777408389626981,0.07627118644067797,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,6,117,13,0.489481458295204,0.1111111111111111,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,7,118,25,0.6018302967224582,0.211864406779661,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,8,117,36,0.7232605114822974,0.3076923076923077,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
logreg_smote,9,118,74,0.8720916300219552,0.6271186440677966,0.17102073712871702,0.3686436050503041,0.16156462585034015,2.2817098923113557
