seed,model,bin,bin_n,bin_n_positive,bin_mean_predicted,bin_fraction_positive,calibration_gap,brier_score,log_loss,roc_auc,mean_predicted_probability,actual_prevalence,mean_pred_over_prevalence_ratio,brier_improvement_vs_uncalibrated,raw_threshold,raw_threshold_precision,raw_threshold_recall,raw_threshold_f1,calibrated_matched_threshold,calibrated_matched_precision,calibrated_matched_recall,calibrated_matched_f1,score_min,score_max,score_median,score_p95,score_p99,f9_7_low_count,f9_7_low_pct,f9_7_medium_count,f9_7_medium_pct,f9_7_high_count,f9_7_high_pct,f9_7_high_count_full_dataset_approx
42,uncalibrated_logreg_smote,0,118,2,0.01794815668388473,0.01694915254237288,-0.0009990041415118486,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,1,118,7,0.05613428924159806,0.059322033898305086,0.0031877446567070283,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,2,117,8,0.10851165082348127,0.06837606837606838,-0.04013558244741289,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,3,118,7,0.17673433698731603,0.059322033898305086,-0.11741230308901093,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,4,117,9,0.26363777086917306,0.07692307692307693,-0.18671469394609613,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,5,118,9,0.3777408389626981,0.07627118644067797,-0.3014696525220201,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,6,117,13,0.489481458295204,0.1111111111111111,-0.3783703471840929,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,7,118,25,0.6018302967224582,0.211864406779661,-0.38996588994279724,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,8,117,36,0.7232605114822974,0.3076923076923077,-0.4155682037899897,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,uncalibrated_logreg_smote,9,118,74,0.8720916300219552,0.6271186440677966,-0.24497298595415862,0.17102073712871702,0.5129730906378019,0.8024927938507527,0.3686436050503041,0.16156462585034015,2.2817098923113557,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,,,,,,,,,,,,,,,,
42,calibrated_logreg_smote_sigmoid,0,118,4,0.014621355979132607,0.03389830508474576,0.019276949105613155,0.1061766066343522,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927,0.002990644760411569,0.8477533729490577,0.11525367409984565,0.4572102735675089,0.693841088265859,989.0,84.1,164.0,13.95,23.0,1.96,29.0
42,calibrated_logreg_smote_sigmoid,1,118,4,0.03052606046447672,0.03389830508474576,0.003372244620269041,0.1061766066343522,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927,0.002990644760411569,0.8477533729490577,0.11525367409984565,0.4572102735675089,0.693841088265859,989.0,84.1,164.0,13.95,23.0,1.96,29.0
42,calibrated_logreg_smote_sigmoid,2,117,8,0.04943774473796461,0.06837606837606838,0.01893832363810377,0.1061766066343522,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927,0.002990644760411569,0.8477533729490577,0.11525367409984565,0.4572102735675089,0.693841088265859,989.0,84.1,164.0,13.95,23.0,1.96,29.0
42,calibrated_logreg_smote_sigmoid,3,118,7,0.06900620683201655,0.059322033898305086,-0.009684172933711467,0.1061766066343522,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927,0.002990644760411569,0.8477533729490577,0.11525367409984565,0.4572102735675089,0.693841088265859,989.0,84.1,164.0,13.95,23.0,1.96,29.0
42,calibrated_logreg_smote_sigmoid,4,117,8,0.09620529972976603,0.06837606837606838,-0.02782923135369765,0.1061766066343522,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927,0.002990644760411569,0.8477533729490577,0.11525367409984565,0.4572102735675089,0.693841088265859,989.0,84.1,164.0,13.95,23.0,1.96,29.0
42,calibrated_logreg_smote_sigmoid,5,118,9,0.13339328931105743,0.07627118644067797,-0.05712210287037946,0.1061766066343522,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927,0.002990644760411569,0.8477533729490577,0.11525367409984565,0.4572102735675089,0.693841088265859,989.0,84.1,164.0,13.95,23.0,1.96,29.0
42,calibrated_logreg_smote_sigmoid,6,117,18,0.17617525011149446,0.15384615384615385,-0.022329096265340603,0.1061766066343522,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.06484413049436481,0.55,0.3888888888888889,0.7,0.5,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927,0.002990644760411569,0.8477533729490577,0.11525367409984565,0.4572102735675089,0.693841088265859,989.0,84.1,164.0,13.95,23.0,1.96,29.0
