seed,method,bin,bin_n,bin_n_positive,bin_mean_predicted,bin_fraction_positive,calibration_gap,brier_score,brier_uncalibrated_baseline,brier_improvement_vs_uncalibrated,log_loss,roc_auc,mean_predicted_probability,actual_prevalence,mean_pred_over_prevalence_ratio,score_min,score_median,score_p95,score_p99,score_max,f9_7_low_count,f9_7_low_pct,f9_7_medium_count,f9_7_medium_pct,f9_7_high_count,f9_7_high_pct,matched_threshold,matched_precision,matched_recall,matched_f1
43,sigmoid,0,118,5,0.01363634208713363,0.0423728813559322,0.028736539268798572,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,1,118,6,0.03025264721217852,0.05084745762711865,0.02059481041494013,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,2,117,6,0.04930088014510966,0.05128205128205128,0.0019811711369416216,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,3,118,6,0.07065280774204397,0.05084745762711865,-0.01980535011492532,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,4,117,12,0.0989002814470083,0.10256410256410256,0.0036638211170942625,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,5,118,10,0.1303478295638956,0.0847457627118644,-0.04560206685203119,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,6,117,12,0.17025096105515727,0.10256410256410256,-0.06768685849105471,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,7,118,23,0.22422707131993308,0.19491525423728814,-0.029311817082644936,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,8,117,37,0.31426696703376783,0.3162393162393162,0.001972349205548396,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
43,sigmoid,9,118,73,0.5001849275803761,0.6186440677966102,0.11845914021623405,0.10594627011639605,0.16785291343784964,0.06190664332145358,0.35695462103238207,0.7975552471442298,0.1602089500870223,0.16156462585034015,0.9916090805386222,0.0022588384003061424,0.11307801260846828,0.46391323758087655,0.6721305885361332,0.8240607988572302,991,84.27,164,13.95,21,1.79,0.19347976256499644,0.3793103448275862,0.6947368421052632,0.49070631970260226
44,sigmoid,0,118,5,0.014882475049832783,0.0423728813559322,0.02749040630609942,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,1,118,7,0.03240870576651004,0.059322033898305086,0.026913328131795047,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,2,117,6,0.05264111666875873,0.05128205128205128,-0.0013590653867074504,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,3,118,7,0.07285133254123165,0.059322033898305086,-0.013529298642926561,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,4,117,4,0.09985786048401707,0.03418803418803419,-0.06566982629598288,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,5,118,13,0.1334258518656535,0.11016949152542373,-0.02325636034022978,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,6,117,14,0.17705495070818522,0.11965811965811966,-0.05739683105006556,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,7,118,28,0.22698782902378264,0.23728813559322035,0.0103003065694377,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
44,sigmoid,8,117,32,0.30905876748851097,0.27350427350427353,-0.035554493984237434,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
